"","time_quasi_extinct"
"1",1788
"2",1532
"3",1926
"4",1720
"5",740
"6",1385
"7",12
"8",1824
"9",1623
"10",8
"11",980
"12",1070
"13",1485
"14",1814
"15",1087
"16",827
"17",1038
"18",1725
"19",1010
"20",395
"21",1768
"22",842
"23",1018
"24",1491
"25",969
"26",493
"27",83
"28",1327
"29",1628
"30",382
"31",1469
"32",225
"33",1147
"34",724
"35",881
"36",1536
"37",723
"38",866
"39",137
"40",649
"41",648
"42",560
"43",1910
"44",896
"45",473
"46",378
"47",1452
"48",64
"49",1490
"50",283
"51",1444
"52",1880
"53",528
"54",1999
"55",1942
"56",492
"57",434
"58",1346
"59",705
"60",419
"61",286
"62",1099
"63",1181
"64",1465
"65",1277
"66",1099
"67",1714
"68",1273
"69",259
"70",1437
"71",1906
"72",1621
"73",7
"74",899
"75",1336
"76",1113
"77",494
"78",686
"79",1372
"80",391
"81",618
"82",9
"83",1267
"84",312
"85",485
"86",695
"87",1091
"88",1393
"89",1804
"90",1100
"91",336
"92",1548
"93",690
"94",1426
"95",1821
"96",606
"97",1024
"98",110
"99",665
"100",1687
"101",1509
"102",1490
"103",1500
"104",579
"105",289
"106",1738
"107",938
"108",1610
"109",1882
"110",315
"111",1237
"112",145
"113",271
"114",1733
"115",1115
"116",1047
"117",1340
"118",519
"119",1941
"120",1057
"121",9
"122",331
"123",1545
"124",1624
"125",414
"126",1260
"127",177
"128",736
"129",1470
"130",1591
"131",1797
"132",863
"133",1250
"134",459
"135",1227
"136",1965
"137",152
"138",1290
"139",1149
"140",910
"141",689
"142",136
"143",1357
"144",1810
"145",435
"146",1952
"147",1346
"148",1218
"149",662
"150",1330
"151",29
"152",9
"153",1556
"154",682
"155",1662
"156",1582
"157",1567
"158",87
"159",1380
"160",622
"161",1844
"162",1747
"163",805
"164",1665
"165",1775
"166",1491
"167",715
"168",1801
"169",1616
"170",709
"171",1573
"172",646
"173",1318
"174",515
"175",959
"176",359
"177",77
"178",306
"179",1545
"180",1906
"181",1777
"182",1555
"183",1260
"184",1491
"185",1902
"186",1546
"187",1553
"188",1613
"189",1752
"190",946
